survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size,is_child,fare_per_person
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,3,0,8.666666666666666
0,2,male,42.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,2,male,51.0,0,0,12.525,S,Second,man,True,C,Southampton,no,True,1,0,12.525
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,2,0,33.3
0,3,male,55.5,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,40.5,0,2,14.5,S,Third,man,True,C,Southampton,no,False,3,0,4.833333333333333
0,3,male,28.0,0,0,7.3125,S,Third,man,True,C,Southampton,no,True,1,0,7.3125
0,1,male,51.0,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,2,0,30.6896
1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True,1,1,7.7333
0,3,male,30.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,28.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,0,8.6625
0,3,male,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False,11,0,6.322727272727272
0,3,male,44.0,0,1,16.1,S,Third,man,True,C,Southampton,no,False,2,0,8.05
1,2,female,40.0,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True,1,0,15.75
0,3,male,26.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,1,0,7.775
0,3,male,17.0,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,1,1,8.6625
0,3,male,1.0,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,6,1,6.614583333333333
1,3,male,9.0,0,2,20.525,S,Third,child,False,C,Southampton,yes,False,3,1,6.841666666666666
1,1,female,28.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,2,0,27.5
0,3,female,45.0,1,4,27.9,S,Third,woman,False,C,Southampton,no,False,6,0,4.6499999999999995
0,1,male,28.0,0,0,25.925,S,First,man,True,C,Southampton,no,True,1,0,25.925
0,3,male,28.0,0,0,56.4958,S,Third,man,True,C,Southampton,no,True,1,0,56.4958
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,1,0,33.5
0,3,male,4.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,6,1,4.854166666666667
1,3,female,1.0,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False,3,1,3.7111
0,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,no,True,1,0,7.925
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,1,0,30.6958
0,3,male,18.0,1,1,7.8542,S,Third,man,True,C,Southampton,no,False,3,0,2.6180666666666665
0,3,male,28.0,3,1,25.4667,S,Third,man,True,C,Southampton,no,False,5,0,5.0933399999999995
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,1,0,28.7125
0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,3,male,36.0,0,0,0.0,S,Third,man,True,C,Southampton,no,True,1,0,0.0
0,3,female,28.0,8,2,69.55,S,Third,woman,False,C,Southampton,no,False,11,0,6.322727272727272
0,2,male,28.0,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True,1,0,15.05
0,3,male,9.0,4,2,31.3875,S,Third,child,False,C,Southampton,no,False,7,1,4.483928571428572
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,4,1,9.75
1,3,female,4.0,0,2,22.025,S,Third,child,False,C,Southampton,yes,False,3,1,7.341666666666666
0,1,male,28.0,0,0,50.0,S,First,man,True,A,Southampton,no,True,1,0,50.0
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,2,0,7.75
1,1,male,45.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,1,0,26.55
0,3,male,40.0,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False,3,0,5.166666666666667
0,3,male,36.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
1,2,female,32.0,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True,1,0,13.0
0,2,male,19.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
1,3,female,19.0,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False,2,0,3.9271
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,3,1,8.666666666666666
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1,0,27.7208
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,1,0,146.5208
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,0,7.75
0,3,male,42.0,0,1,8.4042,S,Third,man,True,C,Southampton,no,False,2,0,4.2021
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.75
0,2,female,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,no,True,1,0,13.0
0,3,male,28.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,1,0,9.5
0,3,male,28.0,8,2,69.55,S,Third,man,True,C,Southampton,no,False,11,0,6.322727272727272
0,3,male,34.0,0,0,6.4958,S,Third,man,True,C,Southampton,no,True,1,0,6.4958
0,3,male,45.5,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,0,7.225
1,3,male,18.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,0,8.05
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,2,1,5.23125
0,3,male,32.0,1,0,15.85,S,Third,man,True,C,Southampton,no,False,2,0,7.925
1,3,male,26.0,0,0,18.7875,C,Third,man,True,C,Cherbourg,yes,True,1,0,18.7875
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,1,7.75
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,1,0,31.0
0,3,male,24.0,0,0,7.05,S,Third,man,True,C,Southampton,no,True,1,0,7.05
1,2,female,35.0,0,0,21.0,S,Second,woman,False,C,Southampton,yes,True,1,0,21.0
0,3,male,22.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,0,7.25
0,2,male,30.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,3,male,28.0,1,0,7.75,Q,Third,man,True,C,Queenstown,no,False,2,0,3.875
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,2,0,56.6375
1,3,female,27.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,1,0,7.925
0,2,male,42.0,1,0,27.0,S,Second,man,True,C,Southampton,no,False,2,0,13.5
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,1,0,76.2917
0,2,male,30.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
1,3,male,16.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,1,8.05
0,2,male,27.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,3,male,51.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,1,0,8.05
0,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,1,0,7.8958
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,2,0,45.0
0,3,male,22.0,0,0,9.35,S,Third,man,True,C,Southampton,no,True,1,0,9.35
1,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,yes,True,1,0,10.5
0,3,male,20.5,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,0,7.25
0,2,male,18.0,0,0,13.0,S,Second,man,True,C,Southampton,no,True,1,0,13.0
0,3,female,28.0,3,1,25.4667,S,Third,woman,False,C,Southampton,no,False,5,0,5.0933399999999995
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,2,0,41.7375
0,3,male,29.0,0,0,7.775,S,Third,man,True,C,Southampton,no,True,1,0,7.775
0,2,male,59.0,0,0,13.5,S,Second,man,True,C,Southampton,no,True,1,0,13.5
1,3,female,5.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,7,1,4.483928571428572
0,2,male,24.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,3,female,28.0,0,0,7.55,S,Third,woman,False,C,Southampton,no,True,1,0,7.55
0,2,male,44.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2,0,13.0
1,2,female,8.0,0,2,26.25,S,Second,child,False,C,Southampton,yes,False,3,1,8.75
0,2,male,19.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,2,male,33.0,0,0,12.275,S,Second,man,True,C,Southampton,no,True,1,0,12.275
0,3,female,28.0,1,0,14.4542,C,Third,woman,False,C,Cherbourg,no,False,2,0,7.2271
1,3,female,28.0,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,2,0,7.75
0,2,male,29.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,3,male,22.0,0,0,7.125,S,Third,man,True,C,Southampton,no,True,1,0,7.125
0,3,male,30.0,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,1,0,7.225
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,3,0,30.0
0,3,female,25.0,0,0,7.775,S,Third,woman,False,C,Southampton,no,True,1,0,7.775
1,2,female,24.0,0,2,14.5,S,Second,woman,False,C,Southampton,yes,False,3,0,4.833333333333333
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,3,0,17.518066666666666
0,2,male,54.0,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2,0,13.0
0,3,male,28.0,0,0,7.25,S,Third,man,True,C,Southampton,no,True,1,0,7.25
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,3,0,3.4875000000000003
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,1,0,26.55
0,3,male,30.0,1,0,16.1,S,Third,man,True,C,Southampton,no,False,2,0,8.05
0,3,female,41.0,0,2,20.2125,S,Third,woman,False,C,Southampton,no,False,3,0,6.7375
1,3,female,29.0,0,2,15.2458,C,Third,woman,False,C,Cherbourg,yes,False,3,0,5.081933333333333
1,1,female,28.0,0,0,79.2,C,First,woman,False,C,Cherbourg,yes,True,1,0,79.2
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1,0,86.5
1,1,female,35.0,0,0,512.3292,C,First,woman,False,C,Cherbourg,yes,True,1,0,512.3292
1,2,female,50.0,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False,2,0,13.0
0,3,male,28.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,0,7.75
1,3,male,3.0,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,7,1,4.483928571428572
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,3,0,26.55
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,1,0,0.0
0,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True,1,0,7.75
0,2,male,36.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,1,0,10.5
0,3,male,16.0,4,1,39.6875,S,Third,man,True,C,Southampton,no,False,6,1,6.614583333333333
1,3,male,25.0,1,0,7.775,S,Third,man,True,C,Southampton,yes,False,2,0,3.8875
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,2,0,76.73125
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,1,0,135.6333
0,1,male,28.0,0,0,31.0,S,First,man,True,C,Southampton,no,True,1,0,31.0
1,3,male,25.0,0,0,0.0,S,Third,man,True,C,Southampton,yes,True,1,0,0.0
1,2,female,41.0,0,1,19.5,S,Second,woman,False,C,Southampton,yes,False,2,0,9.75
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,2,0,14.85
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,1,0,7.75
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,2,0,38.97915
0,3,female,45.0,0,0,7.75,S,Third,woman,False,C,Southampton,no,True,1,0,7.75
0,2,male,28.0,0,0,0.0,S,Second,man,True,C,Southampton,no,True,1,0,0.0
0,3,male,7.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,6,1,4.854166666666667
1,3,female,35.0,1,1,20.25,S,Third,woman,False,C,Southampton,yes,False,3,0,6.75
0,3,male,65.0,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,1,0,7.75
0,3,male,28.0,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,1,0,7.8542
0,3,male,16.0,0,0,9.5,S,Third,man,True,C,Southampton,no,True,1,1,9.5
1,3,male,19.0,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,1,0,8.05
0,1,male,28.0,0,0,26.0,S,First,man,True,A,Southampton,no,True,1,0,26.0
0,3,male,33.0,0,0,8.6625,C,Third,man,True,C,Cherbourg,no,True,1,0,8.6625
1,3,male,30.0,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,1,0,9.5
